,2012,2011,2010,2009,2008,2005,2000,1990
Madagascar,,,84.94,,,82.08,,
Zambia,,,78.92,,,,,
Malawi,,,78.04,,,,,
Nigeria,,,73.67,,,,,
Mali,,,69.86,,,,,
Lesotho,,,69.12,,,,,
Bangladesh,,,67.34,,,69.62,72.50,
Sao Tome and Principe,,,66.80,,,,55.60,
Ethiopia,,,65.60,,,67.52,,
Nepal,,,57.02,,,,,
Pakistan,,,54.91,,,59.32,,75.34
Indonesia,,48.32,50.81,,56.26,55.78,,71.91
Cambodia,,49.51,48.74,48.02,54.08,,,
Georgia,39.79,41.78,42.84,40.88,40.48,41.67,46.15,
Armenia,32.56,35.14,37.02,33.20,29.85,38.94,,
Kyrgyz Republic,,35.18,34.20,32.84,30.95,49.70,65.04,
Honduras,,35.17,31.89,29.84,31.97,43.11,,62.67
China,,26.96,30.43,,35.28,42.23,,73.85
Vietnam,24.67,,28.45,,49.71,,,
El Salvador,17.91,19.40,21.30,20.92,21.90,23.24,28.56,
Colombia,18.57,18.17,20.46,22.60,24.32,25.54,38.86,
Dominican Republic,17.20,17.16,18.12,18.16,19.90,22.42,17.95,
Ecuador,14.90,15.82,18.12,20.62,20.57,25.44,42.21,
Paraguay,13.01,15.82,17.21,18.46,18.93,21.00,,10.38
Moldova,,13.24,15.25,17.09,17.89,44.47,,
Thailand,,,14.30,,17.24,,30.18,42.62
Peru,12.61,13.81,14.23,16.21,18.40,26.36,29.93,
Panama,11.97,12.10,13.58,13.63,14.88,22.26,25.55,
Tunisia,,,12.65,,,17.41,22.86,28.89
Jordan,,,11.53,,14.86,,,
Mexico,10.51,,11.38,,12.46,16.68,22.04,
Romania,8.29,8.72,8.86,7.68,8.91,17.53,,
Turkey,,6.93,7.98,8.45,8.52,13.56,,
Kazakhstan,,,7.88,,10.24,8.07,,
Argentina,,6.10,7.58,9.03,9.51,14.46,15.47,
Costa Rica,6.37,6.76,6.52,9.43,9.14,12.60,16.44,22.17
Bulgaria,,6.31,5.83,,4.53,,,
Uruguay,3.98,4.26,5.12,5.74,6.64,10.82,5.44,
Latvia,,4.08,4.75,,1.54,,,
Lithuania,,2.57,4.19,,2.13,7.73,8.15,
Serbia,,,3.62,2.75,2.17,7.57,,
Montenegro,,4.29,3.34,3.03,2.36,4.88,,
Estonia,,2.20,2.27,1.65,1.21,2.78,8.59,
Poland,,2.01,1.94,1.98,2.24,4.92,4.58,
Hungary,,1.23,1.07,,.66,1.38,2.60,
Ukraine,,,.93,1.80,1.38,4.10,,
Slovak Republic,,.74,.81,.36,.30,1.42,,
Czech Republic,,.20,.23,.22,.16,.18,,
Belarus,,.17,.22,.79,.64,2.85,9.31,
Albania,14.05,,,,12.51,17.17,,
Angola,,,,,63.91,,67.20,
Azerbaijan,,,,,11.22,18.12,,
Benin,,67.52,,,,,,
Bhutan,27.16,,,,,,,
Bolivia,17.71,17.09,,21.59,24.01,34.15,41.76,27.56
Botswana,,,,33.33,,,,
Brazil,11.60,13.46,,15.29,16.12,21.94,,33.51
Burkina Faso,,,,66.16,,,,
Central African Republic,,,,,73.43,,,
Chad,,60.13,,,,,,
Chile,,4.93,,6.01,,,11.69,22.11
"Congo, Dem. Rep.",,,,,,85.93,,
"Congo, Rep.",,58.17,,,,68.41,,
Cote d'Ivoire,,,,,58.83,,,
Croatia,,,,,.16,,.70,
"Egypt, Arab Rep.",,,,,35.51,,37.59,41.55
Fiji,,,,,33.75,,,
Gabon,,,,,,30.76,,
Ghana,,,,,,54.51,,
Guatemala,,37.13,,,,,32.47,
Guinea,66.29,,,,,,,
India,,61.17,,63.11,,,,
"Iran, Islamic Rep.",,,,,,18.25,,21.73
Iraq,37.31,,,,,,,
Jamaica,,,,,,,,22.59
Kenya,,,,,,63.70,,
Lao PDR,60.11,,,,,,,
"Macedonia, FYR",,,,,11.66,10.35,19.99,
Malaysia,,,,8.46,,,,
Mauritania,,,,,52.07,,49.24,
"Micronesia, Fed. Sts.",,,,,,,46.93,
Morocco,,,,,,,,27.56
Mozambique,,,,73.45,,,,
Namibia,,,,44.23,,,,
Nicaragua,,,,29.49,,26.50,,
Niger,,67.07,,,,68.74,,
Philippines,45.96,,,45.57,,,49.56,
Russian Federation,,,,2.41,.50,5.83,,
Rwanda,,73.43,,,,,81.66,
Senegal,,59.47,,,,59.63,,
Sierra Leone,,71.86,,,,,,
South Africa,,29.79,,33.85,,,43.65,
Sri Lanka,,,,37.14,,,,54.09
Sudan,,,,50.70,,,,
Swaziland,,,,57.68,,,60.44,
Tajikistan,,,,40.44,,,,
Tanzania,66.08,,,,,,83.13,
Togo,,67.58,,,,,,
Uganda,60.26,,,61.92,,68.58,,
"Venezuela, RB",,,,,,28.36,,
West Bank and Gaza,,,,4.58,,,,
"Yemen, Rep.",,,,,,46.79,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
